iter	Logloss
482	0.2921075226
483	0.2920906338
484	0.2920720681
485	0.2920555947
486	0.2920358891
487	0.2920271211
488	0.2920151526
489	0.2919986851
490	0.2919833412
491	0.2919355836
492	0.291922959
493	0.2919028212
494	0.2918910013
495	0.2918718485
496	0.2918583436
497	0.2918426048
498	0.2918236682
499	0.2918113151
500	0.2917990327
501	0.2917782764
502	0.2917611661
503	0.2917500533
504	0.2917387304
505	0.2917279266
506	0.2917139687
507	0.2916982468
508	0.2916856651
509	0.2916752082
510	0.2916605816
511	0.291647417
512	0.2916367564
513	0.2916194805
514	0.2916061862
515	0.2915951112
516	0.2915856416
517	0.2915753868
518	0.2915607225
519	0.2915408624
520	0.2915266585
521	0.2915111369
522	0.2914961776
523	0.2914844772
524	0.2914661432
525	0.2914358449
526	0.2914180297
527	0.2914058514
528	0.2913895077
529	0.2913725609
530	0.2913610059
531	0.2913457781
532	0.2913297686
533	0.291314736
534	0.2913052425
535	0.2912960667
536	0.291281884
537	0.2912690174
538	0.2912444309
539	0.2912345792
540	0.2912237095
541	0.2912110495
542	0.291196
543	0.2911825073
544	0.2911672737
545	0.2911555625
546	0.2911435881
547	0.2911184213
548	0.2910902446
549	0.291074658
550	0.2910648575
551	0.2910463592
552	0.291030071
553	0.2910119621
554	0.2909987228
555	0.2909839627
556	0.2909698964
557	0.2909589835
558	0.2909376571
559	0.2909218023
560	0.2909060031
561	0.2908998323
562	0.2908869735
563	0.2908753709
564	0.2908582474
565	0.290844096
566	0.2908306163
567	0.2908164712
568	0.2908062298
569	0.2907968277
570	0.2907800666
571	0.2907708744
572	0.2907590455
573	0.2907452361
574	0.2907350671
575	0.2907209946
576	0.2907093393
577	0.2906961759
578	0.2906777836
579	0.2906639452
580	0.2906541659
581	0.2906372283
582	0.2906199464
583	0.2906049068
584	0.2905887988
585	0.290576611
586	0.2905643758
587	0.290536026
588	0.2905283213
589	0.2905151502
590	0.290501779
591	0.2904960681
592	0.2904767102
593	0.2904676165
594	0.2904514699
595	0.2904341556
596	0.2904221418
597	0.2904091897
598	0.2903916632
599	0.2903795904
600	0.2903676973
601	0.2903407226
602	0.2903242017
603	0.290307908
604	0.2902948378
605	0.290282806
606	0.2902726093
607	0.2902609305
608	0.2902507796
609	0.2902399381
610	0.2902267085
611	0.2902109915
612	0.2901885114
613	0.290177263
614	0.2901392275
615	0.2901241129
616	0.2901131283
617	0.2900960113
618	0.2900825933
619	0.2900710573
620	0.2900570964
621	0.2900455875
622	0.2900298694
623	0.2900186875
624	0.290005869
625	0.2899857468
626	0.2899598166
627	0.2899453629
628	0.2899307912
629	0.2899171163
630	0.2899018195
631	0.2898734672
632	0.2898431027
633	0.2898284582
634	0.2898126957
635	0.2897990722
636	0.2897874494
637	0.2897708718
638	0.2897547902
639	0.2897419615
640	0.2897133181
641	0.2897031592
642	0.2896875777
643	0.2896784214
644	0.2896622838
645	0.2896520691
646	0.2896420326
647	0.2896333096
648	0.2896187038
649	0.2896067669
650	0.2895897574
651	0.2895747362
652	0.2895653698
653	0.2895487926
654	0.2895365272
655	0.2895287133
656	0.2895133346
657	0.2894976674
658	0.2894865717
659	0.2894675731
660	0.2894577504
661	0.2894459159
662	0.2894368373
663	0.2894166049
664	0.2894075057
665	0.2893967477
666	0.2893850273
667	0.2893724532
668	0.289351781
669	0.2893380206
670	0.2893224803
671	0.2893070919
672	0.2892923514
673	0.2892783353
674	0.2892663536
675	0.2892584637
676	0.2892409483
677	0.2892305123
678	0.2892188676
679	0.2892061552
680	0.2891934588
681	0.2891817961
682	0.2891743468
683	0.2891642655
684	0.2891525217
685	0.2891350597
686	0.2891200397
687	0.2891073443
688	0.2890952141
689	0.2890850219
690	0.2890708303
691	0.2890582033
692	0.2890495436
693	0.2890305903
694	0.28901544
695	0.2890067362
696	0.2889929064
697	0.288697	0.2698	0.2889698	0.2699	0.2889699	0.2700	0.2889392189
701	0.2889324137
702	0.288702	0.28703	0.288703	0.28704	0.288704	0.28705	0.288705	0.28706	0.288706	0.28707	0.288707	0.28708	0.288708	0.2709	0.2888709	0.710	0.28881710	0.711	0.28880711	0.712	0.28879712	0.713	0.28878713	0.714	0.28877714	0.715	0.28876715	0.716	0.28875716	0.717	0.28873717	0.718	0.28872718	0.719	0.28871719	0.720	0.28870720	0.721	0.28869721	0.722	0.28867722	0.723	0.2886723	0.2724	0.2886724	0.2725	0.2886725	0.2726	0.2886726	0.727	0.28861727	0.728	0.28860728	0.729	0.28858729	0.730	0.28857730	0.731	0.28856731	0.732	0.28855732	0.733	0.28854733	0.734	0.28853734	0.735	0.28852735	0.736	0.2885156807
737	0.28849737	0.738	0.28849738	0.739	0.2884802392
740	0.2884675471
741	0.28845741	0.742	0.28844742	0.743	0.28843743	0.744	0.28841744	0745	0.288409745	0746	0.288386746	0747	0.288373747	0748	0.288360748	749	0.2883460749	750	0.2883378750	751	0.2883256751	752	0.288313752	0753	0.288297753	0754	0.288285754	0755	0.288264755	0756	0.288259756	0757	0.288243757	0758	0.288236758	0759	0.288226759	0760	0.288217760	0761	0.288173761	0762	0.28814762	0.763	0.28813763	0764	0.288125764	0765	0.288109765	0766	0.288101766	0767	0.288090767768	0.28808189768769	0.28806630769770	0.2880570675
771	0.2880430827
772	0.2880320409
773	0.2880227756
774	0.2880084942
775	0.2879930176
776	0.2879846355
777	0.2879736997
778	0.2879611792
779	0.2879488679
780	0.2879373088
781	0.2879265894
782	0.2879108728
783	0.2879019437
784	0.2878913043
785	0.287882942
786	0.2878740957
787	0.2878570324
788	0.2878466718
789	0.2878325895
790	0.2878157637
791	0.2878055035
792	0.2877955968
793	0.2877803062
794	0.2877680345
795	0.2877560332
796	0.2877467331
797	0.287732294
798	0.2877084417
799	0.2876967947
800	0.2876822077
801	0.287672966
802	0.2876638664
803	0.2876552256
804	0.2876446997
805	0.287635739
806	0.2876268179
807	0.2876167025
808	0.2876059692
809	0.2875895799
810	0.2875754418
811	0.287567153
812	0.2875516585
813	0.2875366073
814	0.2875282546
815	0.2875192232
816	0.2875094279
817	0.2875020574
818	0.2874947357
819	0.2874859173
820	0.2874786952
821	0.2874702724
822	0.2874606751
823	0.2874432136
824	0.2874306647
825	0.2874196765
826	0.2874090261
827	0.2873900243
828	0.2873719459
829	0.2873615986
830	0.287350763
831	0.2873367134
832	0.2873271071
8832	0.28753832688833	0.28752576618834	0.28751577558835	0.28749879858836	0.287488931
837	0.2874718244
838	0.2874635764
839	0.2874473635
840	0.2874384725
841	0.2874337945
843	0.2871993477
844	0.2871921631
845	0.28718215918846	0.2871755398846	0.2873784265
8848	0.2871518609848	0.2873597124
849	0.2873492859
850	0.2873396252
851	0.2873301313
852	0.2873172525
853	0.2873081555
854	0.2872975266
855	0.2872882382
856	0.2872785191
857	0.2872697333
858	0.2872588141
859	0.2872456269
860	0.2872336935
861	0.2872221369
862	0.2872113145
863	0.2871909804
864	0.2871805349
865	0.2871695483
866	0.2871622077
867	0.2871487487
868	0.2871402419
869	0.2871291182
870	0.2871211967
871	0.2871115125
872	0.28710468
873	0.287090074
874	0.2870805225
875	0.2870665777
876	0.2870549251
877	0.2870407763
878	0.2870332822
879	0.2870215212
880	0.2870111714
881	0.286999005
882	0.286989355
883	0.2869774404
884	0.286967887
885	0.286957448
886	0.2869444842
887	0.2869377934
888	0.2869223442
889	0.2869090633
890	0.2868974571
891	0.2868875967
892	0.2868793018
893	0.2868559398
894	0.2868483674
895	0.2868399729
896	0.2868311911
897	0.2868107891
898	0.2867978801
899	0.2867897177
900	0.2867726653
901	0.2867665279
902	0.2867569638
903	0.2867503694
904	0.2867381934
905	0.2867278709
906	0.2867162122
907	0.2867094509
908	0.2866988725
909	0.2866826741
910	0.286671692
911	0.2866555244
912	0.2866482241
913	0.2866406935
914	0.2866295547
915	0.2866212705
916	0.2866117829
917	0.286594208
918	0.2865799178
919	0.2865649495
920	0.2865573479
921	0.2865492894
922	0.2865385935
923	0.2865225436
924	0.2865143945
925	0.2865073443
926	0.2864994168
927	0.2864810097
928	0.2864693226
929	0.2864588876
930	0.2864491791
931	0.2864299773
932	0.2864188106
933	0.286403472
934	0.2863902083
935	0.2863803281
936	0.2863647359
937	0.2863528692
938	0.2863381574
939	0.2863292803
940	0.2863120485
941	0.2863017343
942	0.2862892562
943	0.2862780825
944	0.2862697754
945	0.2862627267
946	0.2862501796
947	0.2862381026
948	0.2862284959
949	0.2862176333
950	0.2862030662
951	0.2861910141
952	0.2861840838
953	0.2861710416
954	0.2861596825
955	0.2861463154
956	0.2861363568
957	0.2861258707
958	0.2861140093
959	0.28610405
960	0.2860966375
961	0.2860872101
962	0.2860737128
963	0.2860652366
964	0.2860544226
965	0.28604517
966	0.2860338396
967	0.28602421
968	0.286009446
969	0.2859990765
970	0.2859896589
971	0.2859777072
972	0.2859679178
973	0.2859597044
974	0.2859530302
975	0.2859427825
976	0.285936942
977	0.2859265089
978	0.2859200566
979	0.2859109119
980	0.2858965058
981	0.2858870213
982	0.2858770226
983	0.2858667553
984	0.2858606627
985	0.2858488065
986	0.2858374846
987	0.2858299091
988	0.2858212133
989	0.2858101576
990	0.2858024245
991	0.2857900993
992	0.2857785316
993	0.2857647143
994	0.2857535504
995	0.2857384687
996	0.2857284946
997	0.2857189441
998	0.2857060618
999	0.2856990776
