iter	Passed	Remaining
399	88973	133459
400	89202	133248
401	89428	133030
402	89697	132877
403	89938	132681
404	90181	132489
405	90439	132317
406	90669	132105
407	90907	131905
408	91132	131684
409	91368	131481
410	91613	131291
411	91842	131076
412	92073	130864
413	92303	130652
414	92543	130452
415	92790	130263
416	92981	129995
417	93222	129797
418	93422	129542
419	93644	129318
420	93873	129103
421	94100	128886
422	94336	128680
423	94531	128420
424	94763	128209
425	94996	127999
426	95202	127754
427	95390	127483
428	95606	127252
429	95825	127024
430	96011	126752
431	96229	126524
432	96435	126279
433	96651	126047
434	96860	125807
435	97067	125564
436	97261	125304
437	97482	125080
438	97691	124839
439	97905	124606
440	98104	124355
441	98304	124104
442	98508	123857
443	98699	123597
444	98884	123327
445	99087	123081
446	99292	122838
447	99539	122647
448	99738	122396
449	99987	122207
450	100209	121984
451	100427	121756
452	100618	121497
453	100845	121281
454	101054	121043
455	101263	120805
456	101480	120577
457	101693	120345
458	101920	120128
459	102149	119915
460	102373	119695
461	102598	119476
462	102795	119225
463	103009	118994
464	103236	118777
465	103472	118572
466	103701	118357
467	103908	118118
468	104122	117887
469	104329	117648
470	104541	117414
471	104743	117170
472	104986	116971
473	105203	116744
474	105446	116546
475	105671	116327
476	105906	116119
477	106142	115913
478	106371	115698
479	106599	115483
480	106835	115275
481	107070	115066
482	107305	114858
483	107529	114638
484	107779	114445
485	108018	114241
486	108255	114035
487	108483	113819
488	108715	113606
489	108960	113408
490	109196	113199
491	109419	112977
492	109652	112765
493	109896	112566
494	110127	112352
495	110366	112146
496	110597	111932
497	110826	111716
498	111063	111509
499	111246	111246
500	111492	111047
501	111722	110832
502	111973	110637
503	112215	110433
504	112462	110235
505	112680	110008
506	112891	109774
507	113097	109535
508	113327	109319
509	113563	109110
510	113780	108881
511	114038	108693
512	114270	108478
513	114501	108263
514	114723	108040
515	114941	107813
516	115166	107592
517	115402	107382
518	115611	107146
519	115814	106905
520	116057	106701
521	116257	106457
522	116503	106256
523	116730	106037
524	116962	105822
525	117194	105608
526	117421	105389
527	117640	105163
528	117849	104928
529	118082	104714
530	118316	104501
531	118501	104246
532	118732	104030
533	118976	103825
534	119208	103611
535	119457	103410
536	119664	103174
537	119900	102963
538	120142	102756
539	120373	102539
540	120598	102319
541	120827	102101
542	121059	101886
543	121297	101675
544	121538	101468
545	121756	101240
546	122005	101039
547	122213	100803
548	122424	100570
549	122668	100365
550	122887	100139
551	123113	99918
552	123338	99696
553	123574	99484
554	123793	99258
555	123980	99005
556	124209	98787
557	124452	98580
558	124682	98363
559	124895	98131
560	125132	97920
561	125370	97708
562	125597	97488
563	125847	97286
564	126088	97077
565	126334	96871
566	126524	96623
567	126759	96408
568	126993	96193
569	127242	95989
570	127493	95787
571	127733	95577
572	127953	95350
573	128186	95134
574	128413	94914
575	128648	94699
576	128882	94483
577	129106	94260
578	129316	94028
579	129563	93821
580	129781	93594
581	130036	93394
582	130276	93182
583	130533	92982
584	130771	92769
585	131010	92556
586	131214	92319
587	131454	92107
588	131688	91891
589	131921	91673
590	132175	91471
591	132406	91253
592	132636	91033
593	132867	90815
594	133056	90567
595	133260	90330
596	133502	90119
597	133734	89901
598	133964	89682
599	134206	89470
600	134433	89249
601	134654	89023
602	134893	88810
603	135140	88602
604	135360	88375
605	135600	88162
606	135817	87934
607	136062	87724
608	136289	87502
609	136524	87285
610	136757	87067
611	136987	86848
612	137232	86637
613	137473	86424
614	137685	86193
615	137930	85982
616	138146	85753
617	138404	85550
618	138635	85331
619	138873	85115
620	139106	84897
621	139341	84680
622	139549	84446
623	139783	84228
624	140019	84011
625	140256	83795
626	140460	83559
627	140646	83312
628	140898	83105
629	141119	82879
630	141362	82666
631	141571	82433
632	141776	82199
633	141990	81969
634	142211	81743
635	142441	81523
636	142680	81307
637	142903	81082
638	143076	80830
639	143289	80600
640	143510	80374
641	143758	80164
642	143995	79947
643	144235	79732
644	144465	79512
645	144690	79288
646	144931	79074
647	145155	78849
648	145358	78614
649	145616	78408
650	145807	78167
651	146045	77950
652	146273	77728
653	146501	77507
654	146740	77290
655	146970	77069
656	147214	76856
657	147428	76627
658	147649	76401
659	147842	76161
660	148074	75941
661	148316	75726
662	148552	75508
663	148807	75300
664	149041	75080
665	149259	74854
666	149499	74637
667	149733	74418
668	149970	74200
669	150197	73977
670	150427	73756
671	150663	73537
672	150898	73319
673	151113	73090
674	151337	72866
675	151582	72651
676	151817	72432
677	152050	72212
678	152284	71992
679	152482	71756
680	152712	71535
681	152917	71301
682	153157	71085
683	153392	70865
684	153633	70648
685	153868	70429
686	154112	70214
687	154345	69993
688	154584	69776
689	154799	69547
690	155035	69328
691	155272	69109
692	155498	68886
693	155720	68660
694	155950	68438
695	156174	68214
696	156402	67991
697	156633697	158698	156858698	158699	157105699	159700	157337	67109
701	157555	66882
702	157745702	159703	157988703	160704	158204704	160705	158434705	160706	158666706	160707	158899707	160708	159127708	161709	159358709	161710	159578710	161711	159809711	161712	160041712	162713	160273713	162714	160512714	162715	160768715	162716	160981716	163717	161241717	163718	161481718	163719	161700719	163720	161935720	164721	162171721	164722	162379722	164723	162582723	164724	162824724	165725	163062725	165726	163323726	165727	163551727	165728	163811728	165729	164053729	166730	164305730	166731	164554731	166732	164791732	166733	165030733	167734	165271734	167735	165523735	167736	165757	59150
737	165966737	168738	166208738	168739	166467	58488
740	166706	58268
741	166913741	168742	167147742	169743	167397743	169744	167651744	169745	167889745	169746	168145746	170747	168370747	170748	168564748	170749	168792749	170750	168997750	171751	169222751	171752	169440752	171753	169667753	171754	169896754	172755	170130755	172756	170356756	172757	170577757	172758	170796758	172759	171023759	173760	171265760	173761	171511761	173762	171725762	173763	171961763	174764	172202764	174765	172434765	174766	172638766	174767	172843767	174768	173046768	175769	173246769	175770	173438	51514
771	173649	51284
772	173832	51047
773	174024	50813
774	174209	50577
775	174380	50336
776	174555	50097
777	174733	49859
778	174897	49618
779	175068	49378
780	175233	49137
781	175414	48900
782	175622	48671
783	175818	48439
784	176031	48212
785	176178	47967
786	176365	47733
787	176556	47499
788	176728	47261
789	176885	47020
790	177075	46787
791	177226	46544
792	177399	46307
793	177598	46077
794	177776	45841
795	177952	45605
796	178124	45369
797	178310	45136
798	178473	44897
799	178637	44659
800	178804	44422
801	178978	44186
802	179134	43947
803	179303	43710
804	179463804	181805	179667	43245
806	179834806	181807	180013	42775
808	180212	42546
809	180416	42319
810	180608	42089
811	180780	41855
812	180950	41620
813	181128	41387
814	181320	41158
815	181502	40927
816	181682	40695
817	181860	40462
818	182035	40229
819	182215	39998
820	182378	39763
821	182552	39530
822	182717	39296
823	182890823	184824	183037824	185825	183203825	185826	183381826	185827	183529827	185828	183694828	185829	183864829	186830	184043830	186831	184216831	186832	184392832	186605	37410
833	186794	37179
834	186978	36947
835	187157	36715
836	187322	36479
837	187514	36249
838	187698	36018
839	187860	35782
840	188036	35550
841	188204	35316
842	188843	186344843	188844	186510844	188845	186697845	188846	186869846	189051	34149
847	189848	187209848	189409	33687
849	189602	33459
850	189796	33231
851	189999	33004
852	190197	32777
853	190417	32553
854	190614	32326
855	190782	32094
856	190965	31864
857	191134	31632
858	191312	31402
859	191506	31175
860	191719	30951
861	191915	30724
862	192095	30494
