Crime,Crimes,Police Station,Crime Category,Latitude,Longitude,Year
Stock-theft,3,Despatch,Property-Related Crimes,-33.803171,25.472662,2011
All theft not mentioned elsewhere,224,Despatch,Other Serious Crimes,-33.803171,25.472662,2011
Commercial crime,16,Despatch,Other Serious Crimes,-33.803171,25.472662,2011
Shoplifting,24,Despatch,Other Serious Crimes,-33.803171,25.472662,2011
Illegal possession of firearms and ammunition,5,Despatch,Crime detected as a result of Police Action,-33.803171,25.472662,2011
Drug-related crime,41,Despatch,Crime detected as a result of Police Action,-33.803171,25.472662,2011
Driving under the influence of alcohol or drugs,35,Despatch,Crime detected as a result of Police Action,-33.803171,25.472662,2011
Sexual Offences detected as a result of police action,0,Despatch,Crime detected as a result of Police Action,-33.803171,25.472662,2011
Murder,32,Gelvandale,Contact Crimes,-33.9107082,25.5502497,2011
Attempted murder,75,Gelvandale,Contact Crimes,-33.9107082,25.5502497,2011
Assault with the intent to inflict grievous bodily harm,572,Gelvandale,Contact Crimes,-33.9107082,25.5502497,2011
Common assault,553,Gelvandale,Contact Crimes,-33.9107082,25.5502497,2011
Common robbery,91,Gelvandale,Contact Crimes,-33.9107082,25.5502497,2011
Robbery with aggravating circumstances,256,Gelvandale,Contact Crimes,-33.9107082,25.5502497,2011
Rape,101,Gelvandale,Sexual Offences,-33.9107082,25.5502497,2011
Sexual Assault,35,Gelvandale,Sexual Offences,-33.9107082,25.5502497,2011
Attempted Sexual Offences,8,Gelvandale,Sexual Offences,-33.9107082,25.5502497,2011
Contact Sexual Offences,8,Gelvandale,Sexual Offences,-33.9107082,25.5502497,2011
Carjacking,8,Gelvandale,Aggravated Robbery,-33.9107082,25.5502497,2011
Robbery at residential premises,18,Gelvandale,Aggravated Robbery,-33.9107082,25.5502497,2011
Robbery at non-residential premises,15,Gelvandale,Aggravated Robbery,-33.9107082,25.5502497,2011
Robbery of cash in transit,0,Gelvandale,Aggravated Robbery,-33.9107082,25.5502497,2011
Bank robbery,0,Gelvandale,Aggravated Robbery,-33.9107082,25.5502497,2011
Truck hijacking ,0,Gelvandale,Aggravated Robbery,-33.9107082,25.5502497,2011
Arson,15,Gelvandale,Contact-Related Crimes,-33.9107082,25.5502497,2011
Malicious damage to property,576,Gelvandale,Contact-Related Crimes,-33.9107082,25.5502497,2011
Burglary at non-residential premises,121,Gelvandale,Property-Related Crimes,-33.9107082,25.5502497,2011
Burglary at residential premises,430,Gelvandale,Property-Related Crimes,-33.9107082,25.5502497,2011
Theft of motor vehicle and motorcycle,55,Gelvandale,Property-Related Crimes,-33.9107082,25.5502497,2011
Theft out of or from motor vehicle,323,Gelvandale,Property-Related Crimes,-33.9107082,25.5502497,2011
Stock-theft,0,Gelvandale,Property-Related Crimes,-33.9107082,25.5502497,2011
All theft not mentioned elsewhere,743,Gelvandale,Other Serious Crimes,-33.9107082,25.5502497,2011
Commercial crime,95,Gelvandale,Other Serious Crimes,-33.9107082,25.5502497,2011
Shoplifting,416,Gelvandale,Other Serious Crimes,-33.9107082,25.5502497,2011
Illegal possession of firearms and ammunition,31,Gelvandale,Crime detected as a result of Police Action,-33.9107082,25.5502497,2011
Drug-related crime,273,Gelvandale,Crime detected as a result of Police Action,-33.9107082,25.5502497,2011
Driving under the influence of alcohol or drugs,140,Gelvandale,Crime detected as a result of Police Action,-33.9107082,25.5502497,2011
Sexual Offences detected as a result of police action,0,Gelvandale,Crime detected as a result of Police Action,-33.9107082,25.5502497,2011
Murder,6,Humewood,Contact Crimes,-33.9737486,25.6259001,2011
Attempted murder,10,Humewood,Contact Crimes,-33.9737486,25.6259001,2011
Assault with the intent to inflict grievous bodily harm,137,Humewood,Contact Crimes,-33.9737486,25.6259001,2011
Common assault,293,Humewood,Contact Crimes,-33.9737486,25.6259001,2011
Common robbery,134,Humewood,Contact Crimes,-33.9737486,25.6259001,2011
Robbery with aggravating circumstances,320,Humewood,Contact Crimes,-33.9737486,25.6259001,2011
Rape,50,Humewood,Sexual Offences,-33.9737486,25.6259001,2011
Sexual Assault,11,Humewood,Sexual Offences,-33.9737486,25.6259001,2011
Attempted Sexual Offences,6,Humewood,Sexual Offences,-33.9737486,25.6259001,2011
Contact Sexual Offences,6,Humewood,Sexual Offences,-33.9737486,25.6259001,2011
Carjacking,10,Humewood,Aggravated Robbery,-33.9737486,25.6259001,2011
Robbery at residential premises,26,Humewood,Aggravated Robbery,-33.9737486,25.6259001,2011
Robbery at non-residential premises,13,Humewood,Aggravated Robbery,-33.9737486,25.6259001,2011
Robbery of cash in transit,1,Humewood,Aggravated Robbery,-33.9737486,25.6259001,2011
Bank robbery,0,Humewood,Aggravated Robbery,-33.9737486,25.6259001,2011
Truck hijacking ,0,Humewood,Aggravated Robbery,-33.9737486,25.6259001,2011
Arson,5,Humewood,Contact-Related Crimes,-33.9737486,25.6259001,2011
Malicious damage to property,497,Humewood,Contact-Related Crimes,-33.9737486,25.6259001,2011
Burglary at non-residential premises,262,Humewood,Property-Related Crimes,-33.9737486,25.6259001,2011
Burglary at residential premises,833,Humewood,Property-Related Crimes,-33.9737486,25.6259001,2011
Theft of motor vehicle and motorcycle,240,Humewood,Property-Related Crimes,-33.9737486,25.6259001,2011
Theft out of or from motor vehicle,990,Humewood,Property-Related Crimes,-33.9737486,25.6259001,2011
Stock-theft,0,Humewood,Property-Related Crimes,-33.9737486,25.6259001,2011
All theft not mentioned elsewhere,1569,Humewood,Other Serious Crimes,-33.9737486,25.6259001,2011
Commercial crime,188,Humewood,Other Serious Crimes,-33.9737486,25.6259001,2011
Shoplifting,285,Humewood,Other Serious Crimes,-33.9737486,25.6259001,2011
Illegal possession of firearms and ammunition,6,Humewood,Crime detected as a result of Police Action,-33.9737486,25.6259001,2011
Drug-related crime,154,Humewood,Crime detected as a result of Police Action,-33.9737486,25.6259001,2011
Driving under the influence of alcohol or drugs,237,Humewood,Crime detected as a result of Police Action,-33.9737486,25.6259001,2011
Sexual Offences detected as a result of police action,0,Humewood,Crime detected as a result of Police Action,-33.9737486,25.6259001,2011
Murder,22,Ikamvelihle,Contact Crimes,-33.7972722,25.6083202,2011
Attempted murder,16,Ikamvelihle,Contact Crimes,-33.7972722,25.6083202,2011
Assault with the intent to inflict grievous bodily harm,239,Ikamvelihle,Contact Crimes,-33.7972722,25.6083202,2011
Common assault,142,Ikamvelihle,Contact Crimes,-33.7972722,25.6083202,2011
Common robbery,38,Ikamvelihle,Contact Crimes,-33.7972722,25.6083202,2011
Robbery with aggravating circumstances,170,Ikamvelihle,Contact Crimes,-33.7972722,25.6083202,2011
Rape,70,Ikamvelihle,Sexual Offences,-33.7972722,25.6083202,2011
Sexual Assault,4,Ikamvelihle,Sexual Offences,-33.7972722,25.6083202,2011
Attempted Sexual Offences,6,Ikamvelihle,Sexual Offences,-33.7972722,25.6083202,2011
Contact Sexual Offences,4,Ikamvelihle,Sexual Offences,-33.7972722,25.6083202,2011
Carjacking,11,Ikamvelihle,Aggravated Robbery,-33.7972722,25.6083202,2011
Robbery at residential premises,15,Ikamvelihle,Aggravated Robbery,-33.7972722,25.6083202,2011
Robbery at non-residential premises,14,Ikamvelihle,Aggravated Robbery,-33.7972722,25.6083202,2011
Robbery of cash in transit,0,Ikamvelihle,Aggravated Robbery,-33.7972722,25.6083202,2011
Bank robbery,0,Ikamvelihle,Aggravated Robbery,-33.7972722,25.6083202,2011
Truck hijacking ,0,Ikamvelihle,Aggravated Robbery,-33.7972722,25.6083202,2011
Arson,8,Ikamvelihle,Contact-Related Crimes,-33.7972722,25.6083202,2011
Malicious damage to property,96,Ikamvelihle,Contact-Related Crimes,-33.7972722,25.6083202,2011
Burglary at non-residential premises,19,Ikamvelihle,Property-Related Crimes,-33.7972722,25.6083202,2011
Burglary at residential premises,138,Ikamvelihle,Property-Related Crimes,-33.7972722,25.6083202,2011
Theft of motor vehicle and motorcycle,44,Ikamvelihle,Property-Related Crimes,-33.7972722,25.6083202,2011
Theft out of or from motor vehicle,34,Ikamvelihle,Property-Related Crimes,-33.7972722,25.6083202,2011
Stock-theft,0,Ikamvelihle,Property-Related Crimes,-33.7972722,25.6083202,2011
All theft not mentioned elsewhere,98,Ikamvelihle,Other Serious Crimes,-33.7972722,25.6083202,2011
Commercial crime,18,Ikamvelihle,Other Serious Crimes,-33.7972722,25.6083202,2011
Shoplifting,2,Ikamvelihle,Other Serious Crimes,-33.7972722,25.6083202,2011
Illegal possession of firearms and ammunition,17,Ikamvelihle,Crime detected as a result of Police Action,-33.7972722,25.6083202,2011
Drug-related crime,65,Ikamvelihle,Crime detected as a result of Police Action,-33.7972722,25.6083202,2011
Driving under the influence of alcohol or drugs,165,Ikamvelihle,Crime detected as a result of Police Action,-33.7972722,25.6083202,2011
Sexual Offences detected as a result of police action,0,Ikamvelihle,Crime detected as a result of Police Action,-33.7972722,25.6083202,2011
Murder,23,Kabega Park,Contact Crimes,-33.9399801,25.4985667,2011
Attempted murder,9,Kabega Park,Contact Crimes,-33.9399801,25.4985667,2011
Assault with the intent to inflict grievous bodily harm,341,Kabega Park,Contact Crimes,-33.9399801,25.4985667,2011
Common assault,282,Kabega Park,Contact Crimes,-33.9399801,25.4985667,2011
Common robbery,46,Kabega Park,Contact Crimes,-33.9399801,25.4985667,2011
Robbery with aggravating circumstances,105,Kabega Park,Contact Crimes,-33.9399801,25.4985667,2011
Rape,101,Kabega Park,Sexual Offences,-33.9399801,25.4985667,2011
Sexual Assault,9,Kabega Park,Sexual Offences,-33.9399801,25.4985667,2011
Attempted Sexual Offences,7,Kabega Park,Sexual Offences,-33.9399801,25.4985667,2011
Contact Sexual Offences,3,Kabega Park,Sexual Offences,-33.9399801,25.4985667,2011
Carjacking,4,Kabega Park,Aggravated Robbery,-33.9399801,25.4985667,2011
Robbery at residential premises,19,Kabega Park,Aggravated Robbery,-33.9399801,25.4985667,2011
Robbery at non-residential premises,30,Kabega Park,Aggravated Robbery,-33.9399801,25.4985667,2011
Robbery of cash in transit,0,Kabega Park,Aggravated Robbery,-33.9399801,25.4985667,2011
Bank robbery,0,Kabega Park,Aggravated Robbery,-33.9399801,25.4985667,2011
Truck hijacking ,0,Kabega Park,Aggravated Robbery,-33.9399801,25.4985667,2011
Arson,7,Kabega Park,Contact-Related Crimes,-33.9399801,25.4985667,2011
Malicious damage to property,256,Kabega Park,Contact-Related Crimes,-33.9399801,25.4985667,2011
Burglary at non-residential premises,31,Kabega Park,Property-Related Crimes,-33.9399801,25.4985667,2011
Burglary at residential premises,732,Kabega Park,Property-Related Crimes,-33.9399801,25.4985667,2011
Theft of motor vehicle and motorcycle,114,Kabega Park,Property-Related Crimes,-33.9399801,25.4985667,2011
Theft out of or from motor vehicle,345,Kabega Park,Property-Related Crimes,-33.9399801,25.4985667,2011
Stock-theft,66,Kabega Park,Property-Related Crimes,-33.9399801,25.4985667,2011
All theft not mentioned elsewhere,711,Kabega Park,Other Serious Crimes,-33.9399801,25.4985667,2011
Commercial crime,67,Kabega Park,Other Serious Crimes,-33.9399801,25.4985667,2011
Shoplifting,73,Kabega Park,Other Serious Crimes,-33.9399801,25.4985667,2011
Illegal possession of firearms and ammunition,8,Kabega Park,Crime detected as a result of Police Action,-33.9399801,25.4985667,2011
Drug-related crime,65,Kabega Park,Crime detected as a result of Police Action,-33.9399801,25.4985667,2011
Driving under the influence of alcohol or drugs,117,Kabega Park,Crime detected as a result of Police Action,-33.9399801,25.4985667,2011
Sexual Offences detected as a result of police action,0,Kabega Park,Crime detected as a result of Police Action,-33.9399801,25.4985667,2011
Murder,32,Kamesh,Contact Crimes,-33.769185,25.3660359,2011
Attempted murder,18,Kamesh,Contact Crimes,-33.769185,25.3660359,2011
Assault with the intent to inflict grievous bodily harm,397,Kamesh,Contact Crimes,-33.769185,25.3660359,2011
Common assault,237,Kamesh,Contact Crimes,-33.769185,25.3660359,2011
Common robbery,36,Kamesh,Contact Crimes,-33.769185,25.3660359,2011
Robbery with aggravating circumstances,85,Kamesh,Contact Crimes,-33.769185,25.3660359,2011
Rape,109,Kamesh,Sexual Offences,-33.769185,25.3660359,2011
Sexual Assault,9,Kamesh,Sexual Offences,-33.769185,25.3660359,2011
Attempted Sexual Offences,3,Kamesh,Sexual Offences,-33.769185,25.3660359,2011
Contact Sexual Offences,3,Kamesh,Sexual Offences,-33.769185,25.3660359,2011
Carjacking,2,Kamesh,Aggravated Robbery,-33.769185,25.3660359,2011
Robbery at residential premises,4,Kamesh,Aggravated Robbery,-33.769185,25.3660359,2011
Robbery at non-residential premises,24,Kamesh,Aggravated Robbery,-33.769185,25.3660359,2011
Robbery of cash in transit,0,Kamesh,Aggravated Robbery,-33.769185,25.3660359,2011
Bank robbery,0,Kamesh,Aggravated Robbery,-33.769185,25.3660359,2011
Truck hijacking ,0,Kamesh,Aggravated Robbery,-33.769185,25.3660359,2011
Arson,9,Kamesh,Contact-Related Crimes,-33.769185,25.3660359,2011
Malicious damage to property,132,Kamesh,Contact-Related Crimes,-33.769185,25.3660359,2011
Burglary at non-residential premises,21,Kamesh,Property-Related Crimes,-33.769185,25.3660359,2011
Burglary at residential premises,242,Kamesh,Property-Related Crimes,-33.769185,25.3660359,2011
Theft of motor vehicle and motorcycle,34,Kamesh,Property-Related Crimes,-33.769185,25.3660359,2011
Theft out of or from motor vehicle,73,Kamesh,Property-Related Crimes,-33.769185,25.3660359,2011
Stock-theft,2,Kamesh,Property-Related Crimes,-33.769185,25.3660359,2011
All theft not mentioned elsewhere,200,Kamesh,Other Serious Crimes,-33.769185,25.3660359,2011
Commercial crime,12,Kamesh,Other Serious Crimes,-33.769185,25.3660359,2011
Shoplifting,17,Kamesh,Other Serious Crimes,-33.769185,25.3660359,2011
Illegal possession of firearms and ammunition,3,Kamesh,Crime detected as a result of Police Action,-33.769185,25.3660359,2011
Drug-related crime,871,Kamesh,Crime detected as a result of Police Action,-33.769185,25.3660359,2011
Driving under the influence of alcohol or drugs,69,Kamesh,Crime detected as a result of Police Action,-33.769185,25.3660359,2011
Sexual Offences detected as a result of police action,0,Kamesh,Crime detected as a result of Police Action,-33.769185,25.3660359,2011
Murder,22,Kwadwesi,Contact Crimes,-33.8410858,25.5230822,2011
Attempted murder,15,Kwadwesi,Contact Crimes,-33.8410858,25.5230822,2011
Assault with the intent to inflict grievous bodily harm,216,Kwadwesi,Contact Crimes,-33.8410858,25.5230822,2011
Common assault,119,Kwadwesi,Contact Crimes,-33.8410858,25.5230822,2011
Common robbery,34,Kwadwesi,Contact Crimes,-33.8410858,25.5230822,2011
Robbery with aggravating circumstances,93,Kwadwesi,Contact Crimes,-33.8410858,25.5230822,2011
Rape,75,Kwadwesi,Sexual Offences,-33.8410858,25.5230822,2011
Sexual Assault,2,Kwadwesi,Sexual Offences,-33.8410858,25.5230822,2011
Attempted Sexual Offences,7,Kwadwesi,Sexual Offences,-33.8410858,25.5230822,2011
Contact Sexual Offences,6,Kwadwesi,Sexual Offences,-33.8410858,25.5230822,2011
Carjacking,12,Kwadwesi,Aggravated Robbery,-33.8410858,25.5230822,2011
Robbery at residential premises,16,Kwadwesi,Aggravated Robbery,-33.8410858,25.5230822,2011
Robbery at non-residential premises,21,Kwadwesi,Aggravated Robbery,-33.8410858,25.5230822,2011
Robbery of cash in transit,0,Kwadwesi,Aggravated Robbery,-33.8410858,25.5230822,2011
Bank robbery,0,Kwadwesi,Aggravated Robbery,-33.8410858,25.5230822,2011
Truck hijacking ,1,Kwadwesi,Aggravated Robbery,-33.8410858,25.5230822,2011
Arson,5,Kwadwesi,Contact-Related Crimes,-33.8410858,25.5230822,2011
Malicious damage to property,62,Kwadwesi,Contact-Related Crimes,-33.8410858,25.5230822,2011
Burglary at non-residential premises,4,Kwadwesi,Property-Related Crimes,-33.8410858,25.5230822,2011
Burglary at residential premises,152,Kwadwesi,Property-Related Crimes,-33.8410858,25.5230822,2011
Theft of motor vehicle and motorcycle,47,Kwadwesi,Property-Related Crimes,-33.8410858,25.5230822,2011
Theft out of or from motor vehicle,58,Kwadwesi,Property-Related Crimes,-33.8410858,25.5230822,2011
Stock-theft,0,Kwadwesi,Property-Related Crimes,-33.8410858,25.5230822,2011
All theft not mentioned elsewhere,134,Kwadwesi,Other Serious Crimes,-33.8410858,25.5230822,2011
Commercial crime,41,Kwadwesi,Other Serious Crimes,-33.8410858,25.5230822,2011
Shoplifting,40,Kwadwesi,Other Serious Crimes,-33.8410858,25.5230822,2011
Illegal possession of firearms and ammunition,15,Kwadwesi,Crime detected as a result of Police Action,-33.8410858,25.5230822,2011
Drug-related crime,50,Kwadwesi,Crime detected as a result of Police Action,-33.8410858,25.5230822,2011
Driving under the influence of alcohol or drugs,131,Kwadwesi,Crime detected as a result of Police Action,-33.8410858,25.5230822,2011
Sexual Offences detected as a result of police action,0,Kwadwesi,Crime detected as a result of Police Action,-33.8410858,25.5230822,2011
Murder,35,Kwanobuhle,Contact Crimes,-33.8140582,25.3975369,2011
Attempted murder,27,Kwanobuhle,Contact Crimes,-33.8140582,25.3975369,2011
Assault with the intent to inflict grievous bodily harm,567,Kwanobuhle,Contact Crimes,-33.8140582,25.3975369,2011
Common assault,208,Kwanobuhle,Contact Crimes,-33.8140582,25.3975369,2011
Common robbery,94,Kwanobuhle,Contact Crimes,-33.8140582,25.3975369,2011
Robbery with aggravating circumstances,285,Kwanobuhle,Contact Crimes,-33.8140582,25.3975369,2011
Rape,161,Kwanobuhle,Sexual Offences,-33.8140582,25.3975369,2011
Sexual Assault,18,Kwanobuhle,Sexual Offences,-33.8140582,25.3975369,2011
Attempted Sexual Offences,6,Kwanobuhle,Sexual Offences,-33.8140582,25.3975369,2011
Contact Sexual Offences,6,Kwanobuhle,Sexual Offences,-33.8140582,25.3975369,2011
Carjacking,17,Kwanobuhle,Aggravated Robbery,-33.8140582,25.3975369,2011
Robbery at residential premises,47,Kwanobuhle,Aggravated Robbery,-33.8140582,25.3975369,2011
Robbery at non-residential premises,56,Kwanobuhle,Aggravated Robbery,-33.8140582,25.3975369,2011
Robbery of cash in transit,2,Kwanobuhle,Aggravated Robbery,-33.8140582,25.3975369,2011
Bank robbery,0,Kwanobuhle,Aggravated Robbery,-33.8140582,25.3975369,2011
Truck hijacking ,1,Kwanobuhle,Aggravated Robbery,-33.8140582,25.3975369,2011
Arson,19,Kwanobuhle,Contact-Related Crimes,-33.8140582,25.3975369,2011
Malicious damage to property,184,Kwanobuhle,Contact-Related Crimes,-33.8140582,25.3975369,2011
Burglary at non-residential premises,88,Kwanobuhle,Property-Related Crimes,-33.8140582,25.3975369,2011
Burglary at residential premises,369,Kwanobuhle,Property-Related Crimes,-33.8140582,25.3975369,2011
Theft of motor vehicle and motorcycle,32,Kwanobuhle,Property-Related Crimes,-33.8140582,25.3975369,2011
Theft out of or from motor vehicle,96,Kwanobuhle,Property-Related Crimes,-33.8140582,25.3975369,2011
Stock-theft,6,Kwanobuhle,Property-Related Crimes,-33.8140582,25.3975369,2011
All theft not mentioned elsewhere,349,Kwanobuhle,Other Serious Crimes,-33.8140582,25.3975369,2011
Commercial crime,26,Kwanobuhle,Other Serious Crimes,-33.8140582,25.3975369,2011
Shoplifting,30,Kwanobuhle,Other Serious Crimes,-33.8140582,25.3975369,2011
Illegal possession of firearms and ammunition,16,Kwanobuhle,Crime detected as a result of Police Action,-33.8140582,25.3975369,2011
Drug-related crime,393,Kwanobuhle,Crime detected as a result of Police Action,-33.8140582,25.3975369,2011
Driving under the influence of alcohol or drugs,55,Kwanobuhle,Crime detected as a result of Police Action,-33.8140582,25.3975369,2011
Sexual Offences detected as a result of police action,0,Kwanobuhle,Crime detected as a result of Police Action,-33.8140582,25.3975369,2011
Murder,85,Kwazakele,Contact Crimes,-32.8707381,27.3876141,2011
Attempted murder,81,Kwazakele,Contact Crimes,-32.8707381,27.3876141,2011
Assault with the intent to inflict grievous bodily harm,685,Kwazakele,Contact Crimes,-32.8707381,27.3876141,2011
Common assault,630,Kwazakele,Contact Crimes,-32.8707381,27.3876141,2011
Common robbery,144,Kwazakele,Contact Crimes,-32.8707381,27.3876141,2011
Robbery with aggravating circumstances,640,Kwazakele,Contact Crimes,-32.8707381,27.3876141,2011
Rape,181,Kwazakele,Sexual Offences,-32.8707381,27.3876141,2011
Sexual Assault,18,Kwazakele,Sexual Offences,-32.8707381,27.3876141,2011
Attempted Sexual Offences,8,Kwazakele,Sexual Offences,-32.8707381,27.3876141,2011
Contact Sexual Offences,12,Kwazakele,Sexual Offences,-32.8707381,27.3876141,2011
Carjacking,77,Kwazakele,Aggravated Robbery,-32.8707381,27.3876141,2011
Robbery at residential premises,99,Kwazakele,Aggravated Robbery,-32.8707381,27.3876141,2011
Robbery at non-residential premises,95,Kwazakele,Aggravated Robbery,-32.8707381,27.3876141,2011
Robbery of cash in transit,0,Kwazakele,Aggravated Robbery,-32.8707381,27.3876141,2011
Bank robbery,0,Kwazakele,Aggravated Robbery,-32.8707381,27.3876141,2011
Truck hijacking ,1,Kwazakele,Aggravated Robbery,-32.8707381,27.3876141,2011
Arson,34,Kwazakele,Contact-Related Crimes,-32.8707381,27.3876141,2011
Malicious damage to property,315,Kwazakele,Contact-Related Crimes,-32.8707381,27.3876141,2011
Burglary at non-residential premises,87,Kwazakele,Property-Related Crimes,-32.8707381,27.3876141,2011
Burglary at residential premises,445,Kwazakele,Property-Related Crimes,-32.8707381,27.3876141,2011
Theft of motor vehicle and motorcycle,126,Kwazakele,Property-Related Crimes,-32.8707381,27.3876141,2011
Theft out of or from motor vehicle,147,Kwazakele,Property-Related Crimes,-32.8707381,27.3876141,2011
Stock-theft,1,Kwazakele,Property-Related Crimes,-32.8707381,27.3876141,2011
All theft not mentioned elsewhere,415,Kwazakele,Other Serious Crimes,-32.8707381,27.3876141,2011
Commercial crime,142,Kwazakele,Other Serious Crimes,-32.8707381,27.3876141,2011
Shoplifting,155,Kwazakele,Other Serious Crimes,-32.8707381,27.3876141,2011
Illegal possession of firearms and ammunition,47,Kwazakele,Crime detected as a result of Police Action,-32.8707381,27.3876141,2011
Drug-related crime,109,Kwazakele,Crime detected as a result of Police Action,-32.8707381,27.3876141,2011
Driving under the influence of alcohol or drugs,345,Kwazakele,Crime detected as a result of Police Action,-32.8707381,27.3876141,2011
Sexual Offences detected as a result of police action,0,Kwazakele,Crime detected as a result of Police Action,-32.8707381,27.3876141,2011
Murder,44,Motherwell,Contact Crimes,-33.796568,25.583835,2011
Attempted murder,32,Motherwell,Contact Crimes,-33.796568,25.583835,2011
Assault with the intent to inflict grievous bodily harm,424,Motherwell,Contact Crimes,-33.796568,25.583835,2011
Common assault,247,Motherwell,Contact Crimes,-33.796568,25.583835,2011
Common robbery,59,Motherwell,Contact Crimes,-33.796568,25.583835,2011
Robbery with aggravating circumstances,307,Motherwell,Contact Crimes,-33.796568,25.583835,2011
Rape,138,Motherwell,Sexual Offences,-33.796568,25.583835,2011
Sexual Assault,12,Motherwell,Sexual Offences,-33.796568,25.583835,2011
Attempted Sexual Offences,2,Motherwell,Sexual Offences,-33.796568,25.583835,2011
Contact Sexual Offences,10,Motherwell,Sexual Offences,-33.796568,25.583835,2011
Carjacking,17,Motherwell,Aggravated Robbery,-33.796568,25.583835,2011
Robbery at residential premises,21,Motherwell,Aggravated Robbery,-33.796568,25.583835,2011
Robbery at non-residential premises,51,Motherwell,Aggravated Robbery,-33.796568,25.583835,2011
Robbery of cash in transit,0,Motherwell,Aggravated Robbery,-33.796568,25.583835,2011
Bank robbery,0,Motherwell,Aggravated Robbery,-33.796568,25.583835,2011
Truck hijacking ,0,Motherwell,Aggravated Robbery,-33.796568,25.583835,2011
Arson,16,Motherwell,Contact-Related Crimes,-33.796568,25.583835,2011
Malicious damage to property,124,Motherwell,Contact-Related Crimes,-33.796568,25.583835,2011
Burglary at non-residential premises,40,Motherwell,Property-Related Crimes,-33.796568,25.583835,2011
Burglary at residential premises,291,Motherwell,Property-Related Crimes,-33.796568,25.583835,2011
Theft of motor vehicle and motorcycle,65,Motherwell,Property-Related Crimes,-33.796568,25.583835,2011
Theft out of or from motor vehicle,128,Motherwell,Property-Related Crimes,-33.796568,25.583835,2011
Stock-theft,11,Motherwell,Property-Related Crimes,-33.796568,25.583835,2011
All theft not mentioned elsewhere,205,Motherwell,Other Serious Crimes,-33.796568,25.583835,2011
Commercial crime,41,Motherwell,Other Serious Crimes,-33.796568,25.583835,2011
Shoplifting,131,Motherwell,Other Serious Crimes,-33.796568,25.583835,2011
Illegal possession of firearms and ammunition,39,Motherwell,Crime detected as a result of Police Action,-33.796568,25.583835,2011
Drug-related crime,357,Motherwell,Crime detected as a result of Police Action,-33.796568,25.583835,2011
Driving under the influence of alcohol or drugs,331,Motherwell,Crime detected as a result of Police Action,-33.796568,25.583835,2011
Sexual Offences detected as a result of police action,0,Motherwell,Crime detected as a result of Police Action,-33.796568,25.583835,2011
Murder,4,Mount Road,Contact Crimes,-33.955318,25.5947301,2011
Attempted murder,16,Mount Road,Contact Crimes,-33.955318,25.5947301,2011
Assault with the intent to inflict grievous bodily harm,137,Mount Road,Contact Crimes,-33.955318,25.5947301,2011
Common assault,412,Mount Road,Contact Crimes,-33.955318,25.5947301,2011
Common robbery,127,Mount Road,Contact Crimes,-33.955318,25.5947301,2011
Robbery with aggravating circumstances,343,Mount Road,Contact Crimes,-33.955318,25.5947301,2011
Rape,33,Mount Road,Sexual Offences,-33.955318,25.5947301,2011
Sexual Assault,14,Mount Road,Sexual Offences,-33.955318,25.5947301,2011
Attempted Sexual Offences,7,Mount Road,Sexual Offences,-33.955318,25.5947301,2011
Contact Sexual Offences,10,Mount Road,Sexual Offences,-33.955318,25.5947301,2011
Carjacking,13,Mount Road,Aggravated Robbery,-33.955318,25.5947301,2011
Robbery at residential premises,16,Mount Road,Aggravated Robbery,-33.955318,25.5947301,2011
Robbery at non-residential premises,55,Mount Road,Aggravated Robbery,-33.955318,25.5947301,2011
Robbery of cash in transit,1,Mount Road,Aggravated Robbery,-33.955318,25.5947301,2011
Bank robbery,0,Mount Road,Aggravated Robbery,-33.955318,25.5947301,2011
Truck hijacking ,0,Mount Road,Aggravated Robbery,-33.955318,25.5947301,2011
Arson,4,Mount Road,Contact-Related Crimes,-33.955318,25.5947301,2011
Malicious damage to property,501,Mount Road,Contact-Related Crimes,-33.955318,25.5947301,2011
Burglary at non-residential premises,589,Mount Road,Property-Related Crimes,-33.955318,25.5947301,2011
Burglary at residential premises,421,Mount Road,Property-Related Crimes,-33.955318,25.5947301,2011
Theft of motor vehicle and motorcycle,296,Mount Road,Property-Related Crimes,-33.955318,25.5947301,2011
Theft out of or from motor vehicle,908,Mount Road,Property-Related Crimes,-33.955318,25.5947301,2011
Stock-theft,0,Mount Road,Property-Related Crimes,-33.955318,25.5947301,2011
All theft not mentioned elsewhere,1734,Mount Road,Other Serious Crimes,-33.955318,25.5947301,2011
Commercial crime,458,Mount Road,Other Serious Crimes,-33.955318,25.5947301,2011
Shoplifting,836,Mount Road,Other Serious Crimes,-33.955318,25.5947301,2011
Illegal possession of firearms and ammunition,9,Mount Road,Crime detected as a result of Police Action,-33.955318,25.5947301,2011
Drug-related crime,277,Mount Road,Crime detected as a result of Police Action,-33.955318,25.5947301,2011
Driving under the influence of alcohol or drugs,184,Mount Road,Crime detected as a result of Police Action,-33.955318,25.5947301,2011
Sexual Offences detected as a result of police action,0,Mount Road,Crime detected as a result of Police Action,-33.955318,25.5947301,2011
Murder,90,New Brighton,Contact Crimes,-33.8994277,25.5725492,2011
Attempted murder,60,New Brighton,Contact Crimes,-33.8994277,25.5725492,2011
Assault with the intent to inflict grievous bodily harm,764,New Brighton,Contact Crimes,-33.8994277,25.5725492,2011
Common assault,511,New Brighton,Contact Crimes,-33.8994277,25.5725492,2011
Common robbery,108,New Brighton,Contact Crimes,-33.8994277,25.5725492,2011
