iter	MultiClass
0	1.09509621
1	0.9023033117
2	0.7598684378
3	0.6492597296
4	0.5610984503
5	0.4878329035
6	0.4272627287
7	0.3760202597
8	0.3317830599
9	0.2937058856
10	0.2606026058
11	0.2318719818
12	0.2065166391
13	0.1844437868
14	0.1648957773
15	0.1476515571
16	0.1322722872
17	0.1186269696
18	0.1065580589
19	0.09572398238
20	0.08607803207
21	0.07747370697
22	0.06977305936
23	0.06292801995
24	0.05675437953
25	0.05122688385
26	0.04627102852
27	0.0418415391
28	0.03785828291
29	0.0342768047
30	0.03106350077
31	0.02822224789
32	0.02563240328
33	0.02332339453
34	0.02124325925
35	0.01937023461
36	0.01766889371
37	0.01617259306
38	0.0148155234
39	0.01359476594
40	0.01195332349
41	0.01095071744
42	0.01006810184
43	0.009022253233
44	0.008282301198
45	0.007505907776
46	0.006912452416
47	0.006394479467
48	0.005931371095
49	0.005499070759
50	0.005035100499
51	0.0046996035
52	0.004372229518
53	0.004070056342
54	0.003768016204
55	0.003540547024
56	0.003325651816
57	0.003154941537
58	0.002983228936
59	0.002799017179
60	0.002629222084
61	0.002517883777
62	0.002393162836
63	0.002263501541
64	0.002157115621
65	0.00205498971
66	0.002022158868
67	0.001950517216
68	0.00186422415
69	0.001791091218
70	0.001746324709
71	0.001701260202
72	0.001649770475
73	0.001602365771
74	0.001558410199
75	0.001495196559
76	0.001460917115
77	0.001445410599
78	0.001435187831
79	0.001396229865
80	0.001358817205
81	0.001329820307
82	0.001327007454
83	0.001275901865
84	0.001228280663
85	0.001222498458
86	0.001218535441
87	0.001214963903
88	0.001206411162
89	0.001195901311
90	0.001169907084
91	0.001129694892
92	0.001124361273
93	0.001107741295
94	0.001096146885
95	0.001079660516
96	0.001073351753
97	0.001070852928
98	0.001057109411
99	0.001046342001
100	0.00103868032
101	0.001032091025
102	0.0009872161757
103	0.0009823679616
104	0.0009757549244
105	0.0009737174833
106	0.0009719688561
107	0.0009682362541
108	0.0009545177699
109	0.0009323258219
110	0.0009269429232
111	0.0009209492735
112	0.0009159069336
113	0.000913247339
114	0.00090953612
115	0.0008974986846
116	0.000894120333
117	0.0008737069243
118	0.00086723164
119	0.0008635408093
120	0.0008547224531
121	0.0008520232666
122	0.0008412735858
123	0.0008397803749
124	0.0008151945992
125	0.0008058866583
126	0.0007934360252
127	0.0007908700248
128	0.0007754680084
129	0.0007598053874
130	0.0007573340946
131	0.0007400382739
132	0.0007382193107
133	0.0007368754004
134	0.0007303708579
135	0.0007277557759
136	0.0007192877537
137	0.0007129159452
138	0.0007116752745
139	0.0007104802429
140	0.0006938556145
141	0.0006824629079
142	0.0006804047099
143	0.0006792514762
144	0.0006772319577
145	0.0006618374949
146	0.0006573617791
147	0.0006563604914
148	0.000655054569
149	0.0006535956764
150	0.0006396879714
151	0.0006386251372
152	0.0006368957342
153	0.0006220247038
154	0.0006049913172
155	0.000603323709
156	0.000602331837
157	0.0006006806174
158	0.0005954621083
159	0.0005942954837
160	0.0005772584007
161	0.0005612292407
162	0.0005505809843
163	0.000549642027
164	0.0005329586316
165	0.0005320548796
166	0.0005305851693
167	0.0005116792054
168	0.0005107758424
169	0.0004904601304
170	0.0004892223289
171	0.0004736428756
172	0.0004727610151
173	0.0004700395897
174	0.000469215745
175	0.0004672804864
176	0.0004662376202
177	0.0004568710217
178	0.0004558466111
179	0.0004539498313
180	0.0004530829991
181	0.000452486723
182	0.0004516017986
183	0.000443903431
184	0.0004423733638
185	0.0004414258848
186	0.0004266594985
187	0.000425224581
188	0.0004236939223
189	0.000423200345
190	0.0004225659128
191	0.000422118284
192	0.0004097891389
193	0.0004043566108
194	0.0004039155143
195	0.0003978058572
196	0.0003971713672
197	0.0003919894362
198	0.0003914321115
