Name,Accuracy,Precision,Recall,F1
RandomForestClassifier,15.09,15.22,15.09,15.07
DecisionTreeClassifier,13.31,15.13,13.31,13.6
CatBoostClassifier,12.03,11.91,12.03,11.61
AdaBoostClassifier,10.75,6.32,10.75,6.84
GaussianNB,8.28,5.81,8.28,4.36
KNeighborsClassifier,13.91,14.13,13.91,13.65
XGBClassifier,15.58,15.71,15.58,15.32
